merge_key,id,date,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalHoursAsleep
8378563200_2016-05-08,8378563200,5/8/2016,1,545,606,9.083333333
8378563200_2016-05-09,8378563200,5/9/2016,1,359,399,5.983333333
8378563200_2016-05-10,8378563200,5/10/2016,1,342,391,5.7
8378563200_2016-05-11,8378563200,5/11/2016,1,368,387,6.133333333
8378563200_2016-05-12,8378563200,5/12/2016,1,496,546,8.266666667
8792009665_2016-04-12,8792009665,4/12/2016,1,458,493,7.633333333
8792009665_2016-04-13,8792009665,4/13/2016,1,531,552,8.85
8792009665_2016-04-14,8792009665,4/14/2016,1,486,503,8.1
8792009665_2016-04-15,8792009665,4/15/2016,1,363,377,6.05
8792009665_2016-04-20,8792009665,4/20/2016,1,528,547,8.8
8792009665_2016-04-22,8792009665,4/22/2016,1,391,407,6.516666667
8792009665_2016-04-23,8792009665,4/23/2016,1,339,360,5.65
8792009665_2016-04-27,8792009665,4/27/2016,1,423,428,7.05
8792009665_2016-04-28,8792009665,4/28/2016,1,402,416,6.7
8792009665_2016-04-29,8792009665,4/29/2016,1,398,406,6.633333333
8792009665_2016-04-30,8792009665,4/30/2016,1,343,360,5.716666667
8792009665_2016-05-01,8792009665,5/1/2016,1,503,527,8.383333333
8792009665_2016-05-02,8792009665,5/2/2016,1,415,423,6.916666667
8792009665_2016-05-03,8792009665,5/3/2016,1,516,545,8.6
8792009665_2016-05-04,8792009665,5/4/2016,1,439,463,7.316666667
