"merge_key","id","date","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","TotalHoursAsleep","day_of_week","weekday"
"7086361926_2016-04-19",7086361926,NA,1,472,483,7.866666667,"Tue",NA
"7086361926_2016-04-20",7086361926,NA,1,492,502,8.2,"Wed",NA
"7086361926_2016-04-21",7086361926,NA,1,390,411,6.5,"Thu",NA
"7086361926_2016-04-22",7086361926,NA,1,428,448,7.133333333,"Fri",NA
"7086361926_2016-04-24",7086361926,NA,1,681,704,11.35,"Sun",NA
"7086361926_2016-04-25",7086361926,NA,1,446,447,7.433333333,"Mon",NA
"7086361926_2016-04-26",7086361926,NA,1,485,500,8.083333333,"Tue",NA
"7086361926_2016-04-27",7086361926,NA,1,469,479,7.816666667,"Wed",NA
"7086361926_2016-04-28",7086361926,NA,1,354,367,5.9,"Thu",NA
"7086361926_2016-04-30",7086361926,NA,1,485,489,8.083333333,"Sat",NA
"7086361926_2016-05-01",7086361926,NA,1,388,407,6.466666667,"Sun",NA
"7086361926_2016-05-02",7086361926,NA,1,440,459,7.333333333,"Mon",NA
"7086361926_2016-05-03",7086361926,NA,1,456,461,7.6,"Tue",NA
"7086361926_2016-05-04",7086361926,NA,1,420,436,7,"Wed",NA
"7086361926_2016-05-06",7086361926,NA,1,322,333,5.366666667,"Fri",NA
"7086361926_2016-05-07",7086361926,NA,1,530,548,8.833333333,"Sat",NA
"7086361926_2016-05-08",7086361926,NA,1,481,510,8.016666667,"Sun",NA
"7086361926_2016-05-09",7086361926,NA,1,427,438,7.116666667,"Mon",NA
"7086361926_2016-05-11",7086361926,NA,1,451,463,7.516666667,"Wed",NA
"7086361926_2016-05-12",7086361926,NA,1,444,457,7.4,"Thu",NA
"8053475328_2016-04-20",8053475328,NA,1,486,493,8.1,"Wed",NA
"8053475328_2016-04-23",8053475328,NA,1,331,337,5.516666667,"Sat",NA
"8053475328_2016-05-07",8053475328,NA,1,74,75,1.233333333,"Sat",NA
"8378563200_2016-04-12",8378563200,NA,1,338,356,5.633333333,"Tue",NA
"8378563200_2016-04-13",8378563200,NA,2,447,487,7.45,"Wed",NA
"8378563200_2016-04-14",8378563200,NA,1,424,455,7.066666667,"Thu",NA
"8378563200_2016-04-15",8378563200,NA,1,513,533,8.55,"Fri",NA
"8378563200_2016-04-16",8378563200,NA,2,611,689,10.18333333,"Sat",NA
"8378563200_2016-04-17",8378563200,NA,2,525,591,8.75,"Sun",NA
"8378563200_2016-04-18",8378563200,NA,1,398,451,6.633333333,"Mon",NA
"8378563200_2016-04-19",8378563200,NA,1,387,421,6.45,"Tue",NA
"8378563200_2016-04-20",8378563200,NA,1,381,409,6.35,"Wed",NA
"8378563200_2016-04-21",8378563200,NA,1,396,417,6.6,"Thu",NA
"8378563200_2016-04-22",8378563200,NA,1,441,469,7.35,"Fri",NA
"8378563200_2016-04-23",8378563200,NA,1,565,591,9.416666667,"Sat",NA
"8378563200_2016-04-24",8378563200,NA,1,458,492,7.633333333,"Sun",NA
"8378563200_2016-04-25",8378563200,NA,1,388,402,6.466666667,"Mon",NA
"8378563200_2016-04-25",8378563200,NA,1,388,402,6.466666667,"Mon",NA
"8378563200_2016-04-26",8378563200,NA,1,550,584,9.166666667,"Tue",NA
"8378563200_2016-04-27",8378563200,NA,1,531,600,8.85,"Wed",NA
"8378563200_2016-04-28",8378563200,NA,1,506,556,8.433333333,"Thu",NA
"8378563200_2016-04-29",8378563200,NA,1,527,562,8.783333333,"Fri",NA
"8378563200_2016-04-30",8378563200,NA,1,468,555,7.8,"Sat",NA
"8378563200_2016-05-01",8378563200,NA,1,475,539,7.916666667,"Sun",NA
"8378563200_2016-05-02",8378563200,NA,1,351,385,5.85,"Mon",NA
"8378563200_2016-05-03",8378563200,NA,1,405,429,6.75,"Tue",NA
"8378563200_2016-05-04",8378563200,NA,1,441,477,7.35,"Wed",NA
"8378563200_2016-05-05",8378563200,NA,1,381,417,6.35,"Thu",NA
"8378563200_2016-05-06",8378563200,NA,1,323,355,5.383333333,"Fri",NA
"8378563200_2016-05-07",8378563200,NA,2,459,513,7.65,"Sat",NA
"8378563200_2016-05-08",8378563200,NA,1,545,606,9.083333333,"Sun",NA
"8378563200_2016-05-09",8378563200,NA,1,359,399,5.983333333,"Mon",NA
"8378563200_2016-05-10",8378563200,NA,1,342,391,5.7,"Tue",NA
"8378563200_2016-05-11",8378563200,NA,1,368,387,6.133333333,"Wed",NA
"8378563200_2016-05-12",8378563200,NA,1,496,546,8.266666667,"Thu",NA
"8792009665_2016-04-12",8792009665,NA,1,458,493,7.633333333,"Tue",NA
"8792009665_2016-04-13",8792009665,NA,1,531,552,8.85,"Wed",NA
"8792009665_2016-04-14",8792009665,NA,1,486,503,8.1,"Thu",NA
"8792009665_2016-04-15",8792009665,NA,1,363,377,6.05,"Fri",NA
"8792009665_2016-04-20",8792009665,NA,1,528,547,8.8,"Wed",NA
"8792009665_2016-04-22",8792009665,NA,1,391,407,6.516666667,"Fri",NA
"8792009665_2016-04-23",8792009665,NA,1,339,360,5.65,"Sat",NA
"8792009665_2016-04-27",8792009665,NA,1,423,428,7.05,"Wed",NA
"8792009665_2016-04-28",8792009665,NA,1,402,416,6.7,"Thu",NA
"8792009665_2016-04-29",8792009665,NA,1,398,406,6.633333333,"Fri",NA
"8792009665_2016-04-30",8792009665,NA,1,343,360,5.716666667,"Sat",NA
"8792009665_2016-05-01",8792009665,NA,1,503,527,8.383333333,"Sun",NA
"8792009665_2016-05-02",8792009665,NA,1,415,423,6.916666667,"Mon",NA
"8792009665_2016-05-03",8792009665,NA,1,516,545,8.6,"Tue",NA
"8792009665_2016-05-04",8792009665,NA,1,439,463,7.316666667,"Wed",NA
